2022/07/31 10:07:15 [error] 34280#34472: *5 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:07:36 [error] 34280#34472: *5 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
2022/07/31 10:07:39 [error] 34280#34472: *5 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:09:16 [error] 34280#34472: *12 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:09:16 [error] 34280#34472: *12 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:09:24 [error] 34280#34472: *11 no live upstreams while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://localhost/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/07/31 10:09:24 [error] 34280#34472: *11 no live upstreams while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://localhost/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/31 10:09:35 [error] 34280#34472: *12 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=7 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=7", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:10:52 [error] 34280#34472: *41 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:19:30 [error] 34280#34472: *54 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:19:53 [error] 34280#34472: *55 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:22:09 [error] 34280#34472: *91 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:23:27 [error] 34280#34472: *104 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:24:05 [error] 34280#34472: *104 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:24:19 [error] 34280#34472: *103 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:26:44 [error] 34280#34472: *146 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:27:37 [error] 34280#34472: *146 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:53:29 [error] 34280#34472: *170 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=3 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=3", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 11:02:53 [error] 34280#34472: *180 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=7 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=7", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 11:03:57 [error] 34280#34472: *186 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/07/31 11:04:42 [error] 34280#34472: *185 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/07/31 11:20:40 [error] 34280#34472: *256 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/07/31 11:26:17 [error] 34280#34472: *290 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/07/31 11:31:01 [error] 34280#34472: *310 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/07/31 11:38:10 [error] 34280#34472: *333 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/friendlist"
2022/08/14 10:05:13 [error] 31112#13844: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
2022/08/14 10:05:16 [error] 31112#13844: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/"
2022/08/14 10:05:56 [error] 31112#13844: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/08/14 10:05:56 [error] 31112#13844: *2 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://127.0.0.1:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/08/14 10:06:06 [error] 31112#13844: *11 no live upstreams while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://localhost/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/08/14 10:06:06 [error] 31112#13844: *11 no live upstreams while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://localhost/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
